szervegysID;szervEgysNev
1;Általános logisztika
2;Általános mûszaki
3;Audit
4;Beruházás
5;Beszerzés
6;Bolti értékesítés
7;EHS
8;Energia
9;Humán
10;IT fejlesztés
11;IT üzemeltetés
12;Jog
13;Karbantartás
14;Kontrolling
15;Közbeszerzés/Tender
16;Minõség
17;Munkakör család
18;Operatív termelés
19;Pénzügy
20;PR/Kommunikáció
21;Projekt menedzsment
22;Szállítás/Raktározás
23;Számvitel
24;Termék/gyártás fejlesztés
25;Termeléstervezés
26;Ügyfélszolgálat/Call Center
27;Ügyvitel/Adminisztráció
28;Üzemeltetés/Biztonság
29;Üzletfejlesztés
